defined_class,defined_class_label,attribute,attribute_label,entity,entity_label,location,location_label
ENVO:09000001,,PATO:0001536,solubility,CHEBI:27594,carbon atom,ENVO:00010483,environmental material
ENVO:09000002,,PATO:0001536,solubility,CHEBI:27594,carbon atom,ENVO:00001998,soil
ENVO:09000003,,PATO:0001536,solubility,CHEBI:27594,carbon atom,ENVO:00002006,water
ENVO:09000004,,PATO:0000070,amount,CHEBI:27594,carbon atom,ENVO:00010483,environmental material
ENVO:09000005,,PATO:0000070,amount,CHEBI:27594,carbon atom,ENVO:00001998,soil
ENVO:09000006,,PATO:0000070,amount,CHEBI:27594,carbon atom,ENVO:00002006,water
ENVO:09000007,,PATO:0000033,concentration,CHEBI:27594,carbon atom,ENVO:00010483,environmental material
ENVO:09000008,,PATO:0000033,concentration,CHEBI:27594,carbon atom,ENVO:00001998,soil
ENVO:09000009,,PATO:0000033,concentration,CHEBI:27594,carbon atom,ENVO:00002006,water
ENVO:09000010,,PATO:0001536,solubility,CHEBI:25555,nitrogen atom,ENVO:00010483,environmental material
ENVO:09000011,,PATO:0001536,solubility,CHEBI:25555,nitrogen atom,ENVO:00001998,soil
ENVO:09000012,,PATO:0001536,solubility,CHEBI:25555,nitrogen atom,ENVO:00002006,water
ENVO:09000013,,PATO:0000070,amount,CHEBI:25555,nitrogen atom,ENVO:00010483,environmental material
ENVO:09000014,,PATO:0000070,amount,CHEBI:25555,nitrogen atom,ENVO:00001998,soil
ENVO:09000015,,PATO:0000070,amount,CHEBI:25555,nitrogen atom,ENVO:00002006,water
ENVO:09000016,,PATO:0000033,concentration,CHEBI:25555,nitrogen atom,ENVO:00010483,environmental material
ENVO:09000017,,PATO:0000033,concentration,CHEBI:25555,nitrogen atom,ENVO:00001998,soil
ENVO:09000018,,PATO:0000033,concentration,CHEBI:25555,nitrogen atom,ENVO:00002006,water
ENVO:09200006,,PATO:0000033,concentration,CHEBI:28938,ammonium,ENVO:00001998,soil
ENVO:09200007,,PATO:0000033,concentration,CHEBI:17632,nitrate,ENVO:00001998,soil
ENVO:09000019,,PATO:0000033,concentration,CHEBI:17996,chloride,ENVO:00002006,water
ENVO:09200020,,PATO:0000033,concentration,CHEBI:17632,nitrate,ENVO:01001004,groundwater
ENVO:09200021,,PATO:0000033,concentration,CHEBI:15379,oxygen,ENVO:00002006,water
ENVO:09200022,,PATO:0000033,concentration,CHEBI:15379,oxygen,ENVO:00001998,soil
ENVO:09200023,,PATO:0000033,concentration,ENVO:00002982,clay,ENVO:00001998,soil
ENVO:09200024,,PATO:0000033,concentration,ENVO:01000016,slit,ENVO:00001998,soil
ENVO:09200025,,PATO:0000033,concentration,ENVO:01000017,sand,ENVO:00001998,soil
ENVO:09200026,,PATO:0000033,concentration,ENVO:01000018,gravel,ENVO:00001998,soil
ENVO:09200027,,PATO:0000033,concentration,ENVO:00002006,water,ENVO:00001998,soil
ENVO:09200028,,PATO:0000033,concentration,CHEBI:25154,manganese molecular entity,ENVO:00001998,soil
ENVO:09200029,,PATO:0000033,concentration,CHEBI:24873,iron molecular entity,ENVO:00001998,soil
ENVO:09200030,,PATO:0000033,concentration,CHEBI:33620,aluminium molecular entity,ENVO:00001998,soil
ENVO:09200031,,PATO:0000033,concentration,CHEBI:25108,magnesium molecular entity,ENVO:00001998,soil
ENVO:09200032,,PATO:0000033,concentration,CHEBI:26712,sodium molecular entity,ENVO:00001998,soil
ENVO:09200033,,PATO:0000033,concentration,CHEBI:50335,organic nitrogen anion,ENVO:00001998,soil
ENVO:09200034,,PATO:0000033,concentration,CHEBI:25710,organophosphorus compound,ENVO:00001998,soil
ENVO:09200035,,PATO:0000033,concentration,CHEBI:26082,phosphorus molecular entity,ENVO:00001998,soil
ENVO:09200036,,PATO:0000033,concentration,CHEBI:26217,potassium molecular entity,ENVO:00001998,soil
ENVO:09200037,,PATO:0000033,concentration,CHEBI:3311,calcium carbonate,ENVO:00001998,soil
ENVO:09200038,,PATO:0000033,concentration,CHEBI:50860,organic molecular entity,ENVO:00001998,soil
ENVO:09200039,,PATO:0000033,concentration,CHEBI:37376,tetraphosphorus decaoxide,ENVO:00001998,soil
ENVO:09200040,,PATO:0000033,concentration,CHEBI:16189,sulfate,ENVO:00001998,soil
